RWIS SURFACE SENSOR REPORT
==========================

SITE      SITE NAME                                                   SENSOR    SENSOR NAME                                       ISSUES
OH157F    D12 OH157F CUY IR77 156.64- IR77 @ IR480                    0         I-77 NB Bridge Deck (0)                           No Reading
OH158F    D12 OH158F CUY IR480 N 00.62- IR480 N @ Miles Rd            0         I-480 N WB N2 Lane (0)                            No Reading
OH158F    D12 OH158F CUY IR480 N 00.62- IR480 N @ Miles Rd            1         I-480 N WB N2 Lane Br (1)                         No Reading
OH160F    D12 OH160F CUY IR71 229.69- IR71 @ Drake Rd                 0         I-71 NB Passing Approach (0)                      No Reading
OH160F    D12 OH160F CUY IR71 229.69- IR71 @ Drake Rd                 1         I-71 NB Passing Bridge Deck (1)                   No Reading
OH160F    D12 OH160F CUY IR71 229.69- IR71 @ Drake Rd                 2         I-71 SB Departure Driving Lane (2)                No Reading
OH161F    D12 OH161F CUY IR77 150.02- IR77 @ SR82                     0         I-77 NB N2 Lane Br (0)                            No Reading
OH161F    D12 OH161F CUY IR77 150.02- IR77 @ SR82                     1         I-77 SB N2 Lane Br (1)                            No Reading
OH164F    D12 OH164F GEA SR528 06.32- SR528 @ SR87                    0         SR-87 WB Roadway (0)                              No Reading
OH164F    D12 OH164F GEA SR528 06.32- SR528 @ SR87                    1         SR-528 NB Roadway (1)                             No Reading
OH164F    D12 OH164F GEA SR528 06.32- SR528 @ SR87                    2         Intersection IS (3)                               No Reading
OH167F    D12 OH167F LAK IR90 199.70- IR90 @ Hermitage Rd             0         I-90 WB N2 Lane Br (0)                            No Reading
OH167F    D12 OH167F LAK IR90 199.70- IR90 @ Hermitage Rd             1         I-90 EB N2 Lane Br (1)                            No Reading
OH167F    D12 OH167F LAK IR90 199.70- IR90 @ Hermitage Rd             2         I-90 EB N2 Lane (2)                               No Reading
OH167F    D12 OH167F LAK IR90 199.70- IR90 @ Hermitage Rd             3         Site 1 mm 199 EB                                  No Reading
OH168F    D12 OH168F LAK IR90 207.08- IR90 @ Paine Rd                 0         I-90 WB N2 Lane Br (0)                            No Reading
OH168F    D12 OH168F LAK IR90 207.08- IR90 @ Paine Rd                 1         I-90 EB N2 Lane Br (1)                            No Reading
OH168F    D12 OH168F LAK IR90 207.08- IR90 @ Paine Rd                 2         I-90 EB N2 Lane (2)                               No Reading
OH168F    D12 OH168F LAK IR90 207.08- IR90 @ Paine Rd                 3         Site 3 mm207 EB - Bridge Deck                     No Reading
OH186M    D12 OH186M LAK I-90 EB @ CR 100 (River Rd)                  0         Site 4 mm 211 E Bound                             No Reading
OH186M    D12 OH186M LAK I-90 EB @ CR 100 (River Rd)                  1         Site 6 mm 211 W Bound                             No Reading
OH188M    D12 OH188M LAK I-90 EB @ OH-86 (Painesville Warren Rd)      0         Site 2 mm203 EB                                   No Reading
OH188M    D12 OH188M LAK I-90 EB @ OH-86 (Painesville Warren Rd)      1         Site 8 mm203 WB                                   No Reading
OH190M    D12 OH190M LAK I-90 WB @ CR221                              0         Site 7 mm207 WB                                   No Reading
OH191F    D08 OH191F WAR IR71 35.00-IR71 @ Jeremiah Morrow Bridge     0         IR71 SB Right Shoulder (0)                        No Reading
OH193M    D01 OH193M PAU US24 @ Ohio Stateline                        0         surface                                           No Reading
OH194M    D08 OH194M HAM IR275 @ Louisville Pike                      0         surface                                           No Reading
OH195M    D10 OH195M WAS IR77 @ SR7 Interchange                       0         surface                                           No Reading
OH209F    D09 OH209F BRO US68 @ East Fork Fivemile Creek              2         surface 3                                         No Reading
